Place ID,Nombre,Dirección,Teléfono,Email,Rubros
ChIJqRWsiYzSvJURf1aXK5SuJ5Y,El Condor,"Av. Colombres 988, B1832 Lomas de Zamora, Provincia de Buenos Aires, Argentina",,,"pharmacy, store, point_of_interest, health, establishment"
ChIJP8HG1PnSvJURE-kJL4zXr4g,López IV,"B1832 Lomas de Zamora, Buenos Aires Province, Argentina",,,"pharmacy, store, point_of_interest, health, establishment"
ChIJQTb_6HbNvJURuVA0i_WKg5c,Miranda Fernández,"B1828 Remedios de Escalada, Buenos Aires Province, Argentina",,,"pharmacy, health, store, point_of_interest, establishment"
ChIJ36nrAWXNvJURwMUGiJ-0cAI,Farmacia Rossi,"B1828 Lomas de Zamora, Buenos Aires Province, Argentina",,,"pharmacy, health, store, point_of_interest, establishment"
ChIJzf9RPNnSvJUR3XWygHFRaCY,Nueva Farmacia Laudani,"Av. Eva Perón 701, B1834 Temperley, Provincia de Buenos Aires, Argentina",+54 11 4244-1402,,"pharmacy, health, store, point_of_interest, establishment"
ChIJVbSIJHnRvJURjKHH8NAIJ1Y,Farmacia Morsucci,"Av. Nicolás Bruzone 406, B1842 Monte Grande, Provincia de Buenos Aires, Argentina",+54 11 7368-3007,,"pharmacy, health, store, point_of_interest, establishment"
ChIJP0kaDEzNvJURSQEEKyZQhgk,Farmacia Yankilevich (cabaleiro),"Las Piedras 2615, B1826 Lanús, Provincia de Buenos Aires, Argentina",+54 11 6676-9386,,"pharmacy, store, health, point_of_interest, establishment"
ChIJD7xqpzzNvJURqK9zNfLg104,Schpilberg,"B1820 Lanús, Buenos Aires Province, Argentina",,,"pharmacy, store, point_of_interest, health, establishment"
ChIJe0nDseDSvJURLEYXyyuFYRs,Cangallo (Art. Perfumería y Limpieza),"CMA, Cangallo 9, B1834 Temperley, Provincia de Buenos Aires, Argentina",,,"clothing_store, store, point_of_interest, establishment"
ChIJIdyPzt7TvJURRVcEoV_b0eI,FARMACIA PEREZ,"Gral. Alvear 300, B1842CZF Gran Buenos Aires, Provincia de Buenos Aires, Argentina",+54 11 4296-0507,,"pharmacy, health, store, point_of_interest, establishment"
ChIJ6_Ms-s0yo5URgP0tedmEg0E,Brando,"Gral. Madariaga 491, B1824 Gerli, Provincia de Buenos Aires, Argentina",,,"pharmacy, health, store, point_of_interest, establishment"
ChIJOwLGshTSvJURtNAiRFafJY8,The Fast Tires,"Av. Juan XXIII 491, B1832 Lomas de Zamora, Provincia de Buenos Aires, Argentina",+54 9 11 6095-2542,,"car_repair, store, point_of_interest, establishment"
ChIJu-RRBBzNvJURqEcLJ3W1u9U,Pañalera Hippo,"Av. 25 de Mayo 611, B1824NMG Gran Buenos Aires, Provincia de Buenos Aires, Argentina",+54 11 5463-6323,,"clothing_store, store, point_of_interest, establishment"
ChIJcXmS2lvRvJUR40-4fdP20qA,Farmacia Baptista,"BEV Monte Grande Buenos Aires AR, Cristóbal Colón 1000, B1842 Monte Grande, Provincia de Buenos Aires, Argentina",+54 11 4296-1037,,"pharmacy, store, point_of_interest, health, establishment"
ChIJNRCILF_TvJURdueRV9ydhv4,Parsons,"Blvd. Tomás Espora 2183, B1852FZD Burzaco, Provincia de Buenos Aires, Argentina",+54 11 4294-5617,,"pharmacy, store, point_of_interest, health, establishment"
ChIJjVlW7RLRvJURklhIpNX8Wt0,Farmacia y Perfumería Pinola Edison SCS,"Tomás Alva Edison 1301, B1842 El Jagüel, Provincia de Buenos Aires, Argentina",+54 42816219,,"pharmacy, health, store, point_of_interest, establishment"
ChIJxVenR2DRvJURy5DynPoH--U,Armería Gun Shop,"Blvd. Buenos Aires 102, B1842CDO Monte Grande, Provincia de Buenos Aires, Argentina",+54 11 4281-4495,,"store, point_of_interest, establishment"
ChIJny8Spdgso5URfCWWxA_q4C8,Farmacia Manteiga,"Salta 999, B1846 San Jose, Provincia de Buenos Aires, Argentina",+54 11 4264-2234,,"pharmacy, store, health, point_of_interest, establishment"
ChIJufX9qyHSvJUR2Q88cxY14ns,Carrefour Hipermercado,"Camino de Cintura 2200, B1842 Monte Grande, Provincia de Buenos Aires, Argentina",+54 11 6894-0995,,"supermarket, grocery_or_supermarket, electronics_store, food, store, point_of_interest, establishment"
ChIJ1yw3a9zMvJUR9Fx1Wll_Puc,Toyota - Zento S.A.,"Av. Hipólito Yrigoyen 3202, B1824 Lanús, Provincia de Buenos Aires, Argentina",+54 11 4357-9900,,"car_dealer, store, point_of_interest, establishment"
